Index,Frequency,Percentage,Word,Desc,Code,Translit,Len,RuUpper,RuUpperLen,RuSymbols
1966,55.76,71.34,произвести, гл сов перех инф ,64641,PROIZVESTI,10,ПРОИЗВЕСТИ,10,True
1967,55.7,71.35,запись, сущ неод ед жен им ,6221,ZAPIS',6,ЗАПИСЬ,6,True
1968,55.7,71.36,плыть, гл несов непер инф ,62761,PLYT',5,ПЛЫТЬ,5,True
1969,55.7,71.36,талант, сущ одуш ед муж им ,33675,TALANT,6,ТАЛАНТ,6,True
1970,55.7,71.37,дождаться, гл сов непер воз инф ,186463,DOZHDAT'SJA,11,ДОЖДАТЬСЯ,9,True
1971,55.58,71.37,поворот, сущ неод ед муж им ,30297,POVOROT,7,ПОВОРОТ,7,True
1972,55.58,71.38,крестьянин, сущ одуш ед муж им ,27213,KREST'JANIN,11,КРЕСТЬЯНИН,10,True
1973,55.58,71.38,ведро, сущ неод ед ср им ,37235,VEDRO,5,ВЕДРО,5,True
1974,55.46,71.39,выполнить, гл сов перех инф ,59151,VYPOLNIT',9,ВЫПОЛНИТЬ,9,True
1975,55.46,71.39,пассажир, сущ одуш ед муж им ,29805,PASSAZHIR,9,ПАССАЖИР,8,True
1976,55.46,71.4,канал, сущ неод ед муж им ,26169,KANAL,5,КАНАЛ,5,True
1977,55.46,71.41,столб, сущ неод ед муж им ,33345,STOLB,5,СТОЛБ,5,True
1978,55.46,71.41,подробность, сущ неод ед жен им ,14547,PODROBNOST',11,ПОДРОБНОСТЬ,11,True
1979,55.4,71.42,устройство, сущ неод ед ср им ,45809,USTROJSTVO,10,УСТРОЙСТВО,10,True
1980,55.33,71.42,гражданский, прл ед муж им ,48433,GRAZHDANSKIJ,12,ГРАЖДАНСКИЙ,11,True
1981,55.33,71.43,ракета, сущ неод ед жен им ,16635,RAKETA,6,РАКЕТА,6,False
1982,55.33,71.43,влияние, сущ неод ед ср им ,37463,VLIJANIE,8,ВЛИЯНИЕ,7,True
1983,55.33,71.44,направиться, гл сов непер воз инф ,187674,NAPRAVIT'SJA,12,НАПРАВИТЬСЯ,11,True
1984,55.33,71.44,благодаря, предл дат ,4127948,BLAGODARJA,10,БЛАГОДАРЯ,9,True
1985,55.27,71.45,смена, сущ неод ед жен им ,18435,SMENA,5,СМЕНА,5,False
1986,55.27,71.46,шутить, гл несов непер инф ,99670,SHUTIT',7,ШУТИТЬ,6,True
1987,55.21,71.46,юг, сущ неод ед муж им ,35955,JUG,3,ЮГ,2,True
1988,55.21,71.47,затылок, сущ неод ед муж им ,36235,ZATYLOK,7,ЗАТЫЛОК,7,True
1989,55.21,71.47,предстоять, гл несов непер инф ,88869,PREDSTOJAT',11,ПРЕДСТОЯТЬ,10,True
1990,55.21,71.48,спрятать, гл сов перех инф ,66055,SPRJATAT',9,СПРЯТАТЬ,8,True
1991,55.21,71.48,случаться, гл несов непер воз инф ,193834,SLUCHAT'SJA,11,СЛУЧАТЬСЯ,9,True
1992,55.15,71.49,эпоха, сущ неод ед жен им ,22665,EPOHA,5,ЭПОХА,5,True
1993,55.09,71.49,ветка, сущ неод ед жен им ,2933,VETKA,5,ВЕТКА,5,False
1994,55.09,71.5,проклятый, прл ед муж им ,54534,PROKLJATYJ,10,ПРОКЛЯТЫЙ,9,True
1995,55.09,71.5,товар, сущ неод ед муж им ,33969,TOVAR,5,ТОВАР,5,False
1996,55.03,71.51,разведчик, сущ одуш ед муж им ,31569,RAZVEDCHIK,10,РАЗВЕДЧИК,9,True
1997,55.03,71.52,продолжаться, гл несов непер воз инф ,191546,PRODOLZHAT'SJA,14,ПРОДОЛЖАТЬСЯ,12,True
1998,55.03,71.52,кормить, гл несов перех инф ,60880,KORMIT',7,КОРМИТЬ,7,True
1999,54.97,71.53,боже, межд ,207795,BOZHE,5,БОЖЕ,4,True
2000,54.97,71.53,отлично, сущ неод ед ср ,122567,OTLICHNO,8,ОТЛИЧНО,7,True
2001,54.91,71.54,храм, сущ неод ед муж им ,35109,HRAM,4,ХРАМ,4,False
2002,54.91,71.54,широко, нар опред кач ,206442,SHIROKO,7,ШИРОКО,6,True
2003,54.91,71.55,октябрь, сущ неод ед муж им ,135188,OKTJABR',8,ОКТЯБРЬ,7,True
2004,54.91,71.55,отдыхать, гл несов непер инф ,62229,OTDYHAT',8,ОТДЫХАТЬ,8,True
2005,54.91,71.56,молодость, сущ неод ед жен им ,10343,MOLODOST',9,МОЛОДОСТЬ,9,True
2006,54.84,71.57,жаловаться, гл несов непер воз инф ,195060,ZHALOVAT'SJA,12,ЖАЛОВАТЬСЯ,10,True
2007,54.84,71.57,шестой, числ поряд ед муж им ,4015463,SHESTOJ,7,ШЕСТОЙ,6,True
2008,54.84,71.58,сдать, гл сов пер/не инф ,94533,SDAT',5,СДАТЬ,5,True
2009,54.84,71.58,третий, прл ед муж им ,119069,TRETIJ,6,ТРЕТИЙ,6,True
2010,54.78,71.59,скала, сущ неод ед жен им ,18081,SKALA,5,СКАЛА,5,True
2011,54.72,71.59,сделаться, гл сов непер воз инф ,190619,SDELAT'SJA,10,СДЕЛАТЬСЯ,9,True
2012,54.72,71.6,грозный, прл ед муж им ,48473,GROZNYJ,7,ГРОЗНЫЙ,7,True
2013,54.72,71.6,решиться, гл сов непер воз инф ,190557,RESHIT'SJA,10,РЕШИТЬСЯ,8,True
2014,54.72,71.61,расчет, сущ неод ед муж им ,31791,RASCHET,7,РАСЧЕТ,6,True
2015,54.66,71.61,наступать, гл несов непер инф ,61488,NASTUPAT',9,НАСТУПАТЬ,9,True
2016,54.66,71.62,обида, сущ неод ед жен им ,12251,OBIDA,5,ОБИДА,5,True
2017,54.6,71.63,скрыться, гл сов непер воз инф ,190680,SKRYT'SJA,9,СКРЫТЬСЯ,8,True
2018,54.54,71.63,уезжать, гл несов непер инф ,66657,UEZZHAT',8,УЕЗЖАТЬ,7,True
2019,54.54,71.64,особенность, сущ неод ед жен им ,12917,OSOBENNOST',11,ОСОБЕННОСТЬ,11,True
2020,54.54,71.64,запас, сущ неод ед муж им ,25539,ZAPAS,5,ЗАПАС,5,True
2021,54.54,71.65,насколько, нар вопр ,201871,NASKOL'KO,9,НАСКОЛЬКО,9,True
2022,54.54,71.65,огород, сущ неод ед муж им ,29163,OGOROD,6,ОГОРОД,6,True
2023,54.48,71.66,печка, сущ неод ед жен им ,13875,PECHKA,6,ПЕЧКА,5,True
2024,54.48,71.66,шар, сущ неод ед муж им ,35463,SHAR,4,ШАР,3,True
2025,54.48,71.67,заняться, гл сов непер воз инф ,186881,ZANJAT'SJA,10,ЗАНЯТЬСЯ,8,True
2026,54.42,71.67,могучий, прл ед муж им ,51384,MOGUCHIJ,8,МОГУЧИЙ,7,True
2027,54.42,71.68,неприятный, прл ед муж им ,52404,NEPRIJATNYJ,11,НЕПРИЯТНЫЙ,10,True
2028,54.36,71.69,заранее, нар опред степ ,200416,ZARANEE,7,ЗАРАНЕЕ,7,False
2029,54.23,71.69,польза, сущ неод ед жен им ,14793,POL'ZA,6,ПОЛЬЗА,6,True
2030,54.23,71.7,ботинок, сущ неод ед муж им ,36057,BOTINOK,7,БОТИНОК,7,True
2031,54.23,71.7,попадать, гл несов непер инф ,217620,POPADAT',8,ПОПАДАТЬ,8,True
2032,54.23,71.71,орден, сущ неод ед муж им ,29313,ORDEN,5,ОРДЕН,5,True
2033,54.23,71.71,переходить, гл несов пер/не инф ,184880,PEREHODIT',10,ПЕРЕХОДИТЬ,10,True
2034,54.23,71.72,открытие, сущ неод ед ср им ,41615,OTKRYTIE,8,ОТКРЫТИЕ,8,True
2035,54.17,71.72,корпус, сущ неод ед муж им ,27069,KORPUS,6,КОРПУС,6,True
2036,54.17,71.73,пот, сущ неод ед муж им ,30747,POT,3,ПОТ,3,True
2037,54.17,71.73,печать, сущ неод ед жен им ,13857,PECHAT',7,ПЕЧАТЬ,6,True
2038,54.05,71.74,компьютер, сущ неод ед муж им ,26835,KOMP'JUTER,10,КОМПЬЮТЕР,9,True
2039,54.05,71.74,склад, сущ неод ед муж им ,32709,SKLAD,5,СКЛАД,5,True
2040,53.99,71.75,уважать, гл несов перех инф ,66517,UVAZHAT',8,УВАЖАТЬ,7,True
2041,53.99,71.76,слева, нар обст напр ,205398,SLEVA,5,СЛЕВА,5,True
2042,53.93,71.76,коробка, сущ неод ед жен им ,8159,KOROBKA,7,КОРОБКА,7,True
2043,53.93,71.77,ложиться, гл несов непер воз инф ,197638,LOZHIT'SJA,10,ЛОЖИТЬСЯ,8,True
2044,53.93,71.77,рана, сущ неод ед жен им ,16671,RANA,4,РАНА,4,False
2045,53.93,71.78,женить, гл 2вид перех инф ,72633,ZHENIT',7,ЖЕНИТЬ,6,True
2046,53.87,71.78,лесной, прл ед муж им ,50743,LESNOJ,6,ЛЕСНОЙ,6,True
2047,53.87,71.79,холм, сущ неод ед муж им ,35067,HOLM,4,ХОЛМ,4,True
2048,53.87,71.79,седьмой, числ поряд ед муж им ,4015470,SED'MOJ,7,СЕДЬМОЙ,7,True
2049,53.87,71.8,секрет, сущ неод ед муж им ,32481,SEKRET,6,СЕКРЕТ,6,False
2050,53.8,71.8,произведение, сущ неод ед ср им ,43283,PROIZVEDENIE,12,ПРОИЗВЕДЕНИЕ,12,True
2051,53.8,71.81,таков, мест прил ед муж им ,4013921,TAKOV,5,ТАКОВ,5,False
2052,53.8,71.81,ремень, сущ неод ед муж им ,138870,REMEN',6,РЕМЕНЬ,6,True
2053,53.74,71.82,привет, сущ неод ед муж им ,137674,PRIVET,6,ПРИВЕТ,6,True
2054,53.74,71.83,цифра, сущ неод ед жен им ,21747,TSIFRA,6,ЦИФРА,5,True
2055,53.68,71.83,телефонный, прл ед муж им ,56474,TELEFONNYJ,10,ТЕЛЕФОННЫЙ,10,True
2056,53.62,71.84,полет, сущ неод ед муж им ,30489,POLET,5,ПОЛЕТ,5,True
2057,53.62,71.84,помощник, сущ одуш ед муж им ,30591,POMOSCHNIK,10,ПОМОЩНИК,8,True
2058,53.5,71.85,расположить, гл сов перех инф ,93292,RASPOLOZHIT',12,РАСПОЛОЖИТЬ,11,True
2059,53.5,71.85,глупость, сущ неод ед жен им ,4055,GLUPOST',8,ГЛУПОСТЬ,8,True
2060,53.5,71.86,корова, сущ одуш ед жен им ,8171,KOROVA,6,КОРОВА,6,False
2061,53.5,71.86,пожар, сущ неод ед муж им ,30441,POZHAR,6,ПОЖАР,5,True
2062,53.44,71.87,налить, гл сов перех инф ,61390,NALIT',6,НАЛИТЬ,6,True
2063,53.44,71.87,посидеть, гл сов непер инф ,87896,POSIDET',8,ПОСИДЕТЬ,8,True
2064,53.38,71.88,симптом, сущ неод ед муж им ,139920,SIMPTOM,7,СИМПТОМ,7,True
2065,53.31,71.88,сообразить, гл сов пер/не инф ,95730,SOOBRAZIT',10,СООБРАЗИТЬ,10,True
2066,53.25,71.89,удаваться, гл несов непер воз инф ,193326,UDAVAT'SJA,10,УДАВАТЬСЯ,9,True
2067,53.25,71.9,торопливый, прл ед муж им ,118918,TOROPLIVYJ,10,ТОРОПЛИВЫЙ,10,True
2068,53.25,71.9,радио, сущ неод ед ср ,122616,RADIO,5,РАДИО,5,True
2069,53.25,71.91,бумажка, сущ неод ед жен им ,2557,BUMAZHKA,8,БУМАЖКА,7,True
2070,53.25,71.91,южный, прл ед муж им ,58069,JUZHNYJ,7,ЮЖНЫЙ,5,True
2071,53.19,71.92,профессия, сущ неод ед жен им ,156364,PROFESSIJA,10,ПРОФЕССИЯ,9,True
2072,53.19,71.92,ха, межд ,208061,HA,2,ХА,2,False
2073,53.13,71.93,послышаться, гл сов непер воз инф ,189421,POSLYSHAT'SJA,13,ПОСЛЫШАТЬСЯ,11,True
2074,53.07,71.93,свидетель, сущ одуш ед муж им ,139557,SVIDETEL',9,СВИДЕТЕЛЬ,9,True
2075,53.07,71.94,разведка, сущ неод ед жен им ,16491,RAZVEDKA,8,РАЗВЕДКА,8,True
2076,53.07,71.94,старинный, прл ед муж им ,56134,STARINNYJ,9,СТАРИННЫЙ,9,True
2077,53.07,71.95,ровный, прл ед муж им ,55084,ROVNYJ,6,РОВНЫЙ,6,True
2078,53.01,71.95,халат, сущ неод ед муж им ,34941,HALAT,5,ХАЛАТ,5,True
2079,53.01,71.96,указать, гл сов пер/не инф ,66685,UKAZAT',7,УКАЗАТЬ,7,True
2080,52.95,71.96,сегодняшний, прл ед муж им ,55409,SEGODNJASHNIJ,13,СЕГОДНЯШНИЙ,11,True
2081,52.89,71.97,повести, гл сов пер/не инф ,177998,POVESTI,7,ПОВЕСТИ,7,True
2082,52.89,71.97,тьма, сущ неод ед жен им ,20637,T'MA,4,ТЬМА,4,True
2083,52.89,71.98,зимний, прл ед муж им ,49548,ZIMNIJ,6,ЗИМНИЙ,6,True
2084,52.82,71.99,подхватить, гл сов пер/не инф ,86512,PODHVATIT',10,ПОДХВАТИТЬ,10,True
2085,52.82,71.99,гроб, сущ неод ед муж им ,24591,GROB,4,ГРОБ,4,True
2086,52.82,72.0,сообщение, сущ неод ед ср им ,44807,SOOBSCHENIE,11,СООБЩЕНИЕ,9,True
2087,52.82,72.0,холодно, нар опред кач ,206235,HOLODNO,7,ХОЛОДНО,7,True
2088,52.76,72.01,жест, сущ неод ед муж им ,25323,ZHEST,5,ЖЕСТ,4,True
2089,52.76,72.01,позади, предл род ,4128152,POZADI,6,ПОЗАДИ,6,True
2090,52.76,72.02,яма, сущ неод ед жен им ,22791,JAMA,4,ЯМА,3,True
2091,52.7,72.02,устраивать, гл несов перех инф ,66978,USTRAIVAT',10,УСТРАИВАТЬ,10,True
2092,52.58,72.03,участвовать, гл несов непер инф ,67062,UCHASTVOVAT',12,УЧАСТВОВАТЬ,11,True
2093,52.58,72.03,шоссе, сущ неод ед ср ,122738,SHOSSE,6,ШОССЕ,5,True
2094,52.52,72.04,уважение, сущ неод ед ср им ,45437,UVAZHENIE,9,УВАЖЕНИЕ,8,True
2095,52.46,72.04,сохранить, гл сов перех инф ,65978,SOHRANIT',9,СОХРАНИТЬ,9,True
2096,52.46,72.05,некогда, нар опред степ ,202240,NEKOGDA,7,НЕКОГДА,7,True
2097,52.46,72.05,подвал, сущ неод ед муж им ,30333,PODVAL,6,ПОДВАЛ,6,True
2098,52.46,72.06,цепь, сущ неод ед жен им ,21693,TSEP',5,ЦЕПЬ,4,True
2099,52.4,72.06,лампа, сущ неод ед жен им ,8813,LAMPA,5,ЛАМПА,5,True
2100,52.34,72.07,смешной, прл ед муж им ,55784,SMESHNOJ,8,СМЕШНОЙ,7,True
2101,52.34,72.07,неплохо, нар опред кач ,202359,NEPLOHO,7,НЕПЛОХО,7,True
2102,52.34,72.08,доля, сущ неод ед жен им ,5207,DOLJA,5,ДОЛЯ,4,True
2103,52.34,72.09,закрывать, гл несов перех инф ,60103,ZAKRYVAT',9,ЗАКРЫВАТЬ,9,True
2104,52.27,72.09,понадобиться, гл сов непер воз инф ,189271,PONADOBIT'SJA,13,ПОНАДОБИТЬСЯ,12,True
2105,52.21,72.1,покачать, гл сов пер/не инф ,86877,POKACHAT',9,ПОКАЧАТЬ,8,True
2106,52.21,72.1,старушка, сущ одуш ед жен им ,19035,STARUSHKA,9,СТАРУШКА,8,True
2107,52.09,72.11,уничтожить, гл сов перех инф ,66810,UNICHTOZHIT',12,УНИЧТОЖИТЬ,10,True
2108,52.09,72.11,выясниться, гл сов непер воз инф ,186418,VYJASNIT'SJA,12,ВЫЯСНИТЬСЯ,10,True
2109,52.03,72.12,гриб, сущ неод ед муж им ,24573,GRIB,4,ГРИБ,4,True
2110,52.03,72.12,отвести, гл сов перех инф ,62145,OTVESTI,7,ОТВЕСТИ,7,True
2111,51.97,72.13,бродить, гл несов непер инф ,67726,BRODIT',7,БРОДИТЬ,7,True
2112,51.91,72.13,погода, сущ неод ед жен им ,14325,POGODA,6,ПОГОДА,6,True
2113,51.72,72.14,памятник, сущ неод ед муж им ,29637,PAMJATNIK,9,ПАМЯТНИК,8,True
2114,51.66,72.14,кожаный, прл ед муж им ,50248,KOZHANYJ,8,КОЖАНЫЙ,7,True
2115,51.66,72.15,валяться, гл несов непер воз инф ,196013,VALJAT'SJA,10,ВАЛЯТЬСЯ,8,True
2116,51.66,72.15,жар, сущ неод ед муж им ,25269,ZHAR,4,ЖАР,3,True
2117,51.6,72.16,механизм, сущ неод ед муж им ,28197,MEHANIZM,8,МЕХАНИЗМ,8,True
2118,51.54,72.16,мирный, прл ед муж им ,51284,MIRNYJ,6,МИРНЫЙ,6,True
2119,51.48,72.17,произносить, гл несов пер/не инф ,90924,PROIZNOSIT',11,ПРОИЗНОСИТЬ,11,True
2120,51.48,72.17,потеря, сущ неод ед жен им ,15099,POTERJA,7,ПОТЕРЯ,6,True
2121,51.42,72.18,контроль, сущ неод ед муж им ,131719,KONTROL',8,КОНТРОЛЬ,8,True
2122,51.29,72.18,дверца, сущ неод ед жен им ,147357,DVERTSA,7,ДВЕРЦА,6,True
2123,51.29,72.19,профессиональный, прл ед муж им ,54599,PROFESSIONAL'NYJ,16,ПРОФЕССИОНАЛЬНЫЙ,16,True
2124,51.23,72.19,предупредить, гл сов перех инф ,88874,PREDUPREDIT',12,ПРЕДУПРЕДИТЬ,12,True
2125,51.17,72.2,метод, сущ неод ед муж им ,28185,METOD,5,МЕТОД,5,True
2126,51.17,72.2,веревка, сущ неод ед жен им ,2825,VEREVKA,7,ВЕРЕВКА,7,False
2127,51.17,72.21,зарплата, сущ неод ед жен им ,6281,ZARPLATA,8,ЗАРПЛАТА,8,True
2128,51.17,72.21,ложка, сущ неод ед жен им ,9251,LOZHKA,6,ЛОЖКА,5,True
2129,51.17,72.22,норма, сущ неод ед жен им ,12125,NORMA,5,НОРМА,5,False
2130,51.17,72.22,добиться, гл сов непер воз инф ,186431,DOBIT'SJA,9,ДОБИТЬСЯ,8,True
2131,51.11,72.23,убрать, гл сов перех инф ,66489,UBRAT',6,УБРАТЬ,6,True
2132,51.11,72.23,исключение, сущ неод ед ср им ,39611,ISKLJUCHENIE,12,ИСКЛЮЧЕНИЕ,10,True
2133,51.05,72.24,волнение, сущ неод ед ср им ,37679,VOLNENIE,8,ВОЛНЕНИЕ,8,True
2134,50.99,72.25,вечно, нар обст врем ,199172,VECHNO,6,ВЕЧНО,5,True
2135,50.93,72.25,нежный, прл ед муж им ,51999,NEZHNYJ,7,НЕЖНЫЙ,6,True
2136,50.93,72.26,продавать, гл несов перех инф ,64536,PRODAVAT',9,ПРОДАВАТЬ,9,True
2137,50.93,72.26,поддерживать, гл несов перех инф ,62964,PODDERZHIVAT',13,ПОДДЕРЖИВАТЬ,12,True
2138,50.93,72.27,смешно, нар опред кач ,205436,SMESHNO,7,СМЕШНО,6,True
2139,50.87,72.27,путем, предл род ,4128171,PUTEM,5,ПУТЕМ,5,True
2140,50.87,72.28,баня, сущ неод ед жен им ,1537,BANJA,5,БАНЯ,4,True
2141,50.81,72.28,ужин, сущ неод ед муж им ,34377,UZHIN,5,УЖИН,4,True
2142,50.81,72.29,повесить, гл сов перех инф ,85179,POVESIT',8,ПОВЕСИТЬ,8,True
2143,50.74,72.29,март, сущ неод ед муж им ,27963,MART,4,МАРТ,4,False
2144,50.68,72.3,библиотека, сущ неод ед жен им ,2041,BIBLIOTEKA,10,БИБЛИОТЕКА,10,True
2145,50.68,72.3,сыграть, гл сов пер/не инф ,66279,SYGRAT',7,СЫГРАТЬ,7,True
2146,50.68,72.31,больной, прл ед муж им ,47377,BOL'NOJ,7,БОЛЬНОЙ,7,True
2147,50.68,72.31,сигнал, сущ неод ед муж им ,32565,SIGNAL,6,СИГНАЛ,6,True
2148,50.68,72.32,оглядываться, гл несов непер воз инф ,196888,OGLJADYVAT'SJA,14,ОГЛЯДЫВАТЬСЯ,12,True
2149,50.62,72.32,услать, гл сов перех инф ,98432,USLAT',6,УСЛАТЬ,6,True
2150,50.56,72.33,заметно, нар опред кач ,200378,ZAMETNO,7,ЗАМЕТНО,7,False
2151,50.56,72.33,предполагать, гл несов перех инф ,63915,PREDPOLAGAT',12,ПРЕДПОЛАГАТЬ,12,True
2152,50.56,72.34,махать, гл несов непер инф ,77816,MAHAT',6,МАХАТЬ,6,True
2153,50.5,72.34,сеть, сущ неод ед жен им ,17961,SET',4,СЕТЬ,4,True
2154,50.38,72.35,нерв, сущ неод ед муж им ,28905,NERV,4,НЕРВ,4,False
2155,50.38,72.35,тщательно, нар опред кач ,205926,TSCHATEL'NO,11,ТЩАТЕЛЬНО,9,True
2156,50.38,72.36,коричневый, прл ед муж им ,50423,KORICHNEVYJ,11,КОРИЧНЕВЫЙ,10,True
2157,50.25,72.36,сладкий, прл ед муж им ,55694,SLADKIJ,7,СЛАДКИЙ,7,True
2158,50.25,72.37,вертолет, сущ неод ед муж им ,23667,VERTOLET,8,ВЕРТОЛЕТ,8,True
2159,50.13,72.37,лекарство, сущ неод ед ср им ,39977,LEKARSTVO,9,ЛЕКАРСТВО,9,True
2160,50.07,72.38,запретить, гл сов перех инф ,74633,ZAPRETIT',9,ЗАПРЕТИТЬ,9,True
2161,50.07,72.38,рассчитывать, гл несов пер/не инф ,185076,RASSCHITYVAT',13,РАССЧИТЫВАТЬ,12,True
2162,50.01,72.39,переход, сущ неод ед муж им ,30027,PEREHOD,7,ПЕРЕХОД,7,True
2163,50.01,72.39,кладбище, сущ неод ед ср им ,39761,KLADBISCHE,10,КЛАДБИЩЕ,8,True
2164,49.95,72.4,пулемет, сущ неод ед муж им ,31425,PULEMET,7,ПУЛЕМЕТ,7,True
2165,49.95,72.4,перебить, гл сов пер/не инф ,83751,PEREBIT',8,ПЕРЕБИТЬ,8,True
2166,49.95,72.41,функция, сущ неод ед жен им ,160619,FUNKTSIJA,9,ФУНКЦИЯ,7,True
2167,49.95,72.41,сообщать, гл несов пер/не инф ,65915,SOOBSCHAT',10,СООБЩАТЬ,8,True
2168,49.89,72.42,металлический, прл ед муж им ,51224,METALLICHESKIJ,14,МЕТАЛЛИЧЕСКИЙ,13,True
2169,49.83,72.42,обидеться, гл сов непер воз инф ,187935,OBIDET'SJA,10,ОБИДЕТЬСЯ,9,True
2170,49.83,72.43,император, сущ одуш ед муж им ,25839,IMPERATOR,9,ИМПЕРАТОР,9,True
2171,49.83,72.43,радостно, нар опред кач ,204737,RADOSTNO,8,РАДОСТНО,8,True
2172,49.83,72.44,грузовик, сущ неод ед муж им ,24627,GRUZOVIK,8,ГРУЗОВИК,8,True
2173,49.83,72.44,батальон, сущ неод ед муж им ,22983,BATAL'ON,8,БАТАЛЬОН,8,True
2174,49.76,72.45,сырой, прл ед муж им ,56374,SYROJ,5,СЫРОЙ,5,True
2175,49.76,72.45,башня, сущ неод ед жен им ,1621,BASHNJA,7,БАШНЯ,5,True
2176,49.7,72.46,инструмент, сущ неод ед муж им ,25935,INSTRUMENT,10,ИНСТРУМЕНТ,10,True
2177,49.64,72.46,жесткий, прл ед муж им ,49193,ZHESTKIJ,8,ЖЕСТКИЙ,7,True
2178,49.64,72.47,мелочь, сущ неод ед жен им ,9929,MELOCH',7,МЕЛОЧЬ,6,True
2179,49.64,72.47,вынести, гл сов перех инф ,171316,VYNESTI,7,ВЫНЕСТИ,7,True
2180,49.58,72.48,участник, сущ одуш ед муж им ,34557,UCHASTNIK,9,УЧАСТНИК,8,True
2181,49.58,72.48,обрадоваться, гл сов непер воз инф ,188045,OBRADOVAT'SJA,13,ОБРАДОВАТЬСЯ,12,True
2182,49.58,72.49,ружье, сущ неод ед ср им ,43991,RUZH'E,6,РУЖЬЕ,5,True
2183,49.58,72.49,бесконечный, прл ед муж им ,46997,BESKONECHNYJ,12,БЕСКОНЕЧНЫЙ,11,True
2184,49.58,72.5,непонятно, нар опред кач ,202381,NEPONJATNO,10,НЕПОНЯТНО,9,True
2185,49.58,72.5,отозваться, гл сов непер воз инф ,188449,OTOZVAT'SJA,11,ОТОЗВАТЬСЯ,10,True
2186,49.58,72.51,структура, сущ неод ед жен им ,19341,STRUKTURA,9,СТРУКТУРА,9,False
2187,49.58,72.51,поглядывать, гл несов пер/не инф ,85344,POGLJADYVAT',12,ПОГЛЯДЫВАТЬ,11,True
2188,49.58,72.52,разбитый, прл ед муж им ,115326,RAZBITYJ,8,РАЗБИТЫЙ,8,True
2189,49.58,72.52,присутствие, сущ неод ед ср им ,43151,PRISUTSTVIE,11,ПРИСУТСТВИЕ,11,True
2190,49.52,72.53,пробормотать, гл сов пер/не инф ,90394,PROBORMOTAT',12,ПРОБОРМОТАТЬ,12,True
2191,49.52,72.53,задание, сущ неод ед ср им ,38903,ZADANIE,7,ЗАДАНИЕ,7,True
2192,49.52,72.54,попасться, гл сов непер воз инф ,189319,POPAST'SJA,10,ПОПАСТЬСЯ,9,True
2193,49.46,72.54,перо, сущ неод ед ср им ,41993,PERO,4,ПЕРО,4,True
2194,49.46,72.55,покинуть, гл сов перех инф ,63278,POKINUT',8,ПОКИНУТЬ,8,True
2195,49.4,72.55,судья, сущ одуш ед общ им ,141026,SUD'JA,6,СУДЬЯ,5,True
2196,49.4,72.56,сфера, сущ неод ед жен им ,19563,SFERA,5,СФЕРА,5,True
2197,49.34,72.56,листок, сущ неод ед муж им ,36445,LISTOK,6,ЛИСТОК,6,True
2198,49.34,72.57,кончить, гл сов пер/не инф ,60866,KONCHIT',8,КОНЧИТЬ,7,True
2199,49.34,72.57,жизненный, прл ед муж им ,49233,ZHIZNENNYJ,10,ЖИЗНЕННЫЙ,9,True
2200,49.27,72.58,применять, гл несов перех инф ,89642,PRIMENJAT',10,ПРИМЕНЯТЬ,9,True
2201,49.27,72.58,отдых, сущ неод ед муж им ,29421,OTDYH,5,ОТДЫХ,5,True
2202,49.27,72.59,ужасный, прл ед муж им ,56929,UZHASNYJ,8,УЖАСНЫЙ,7,True
2203,49.27,72.59,равный, прл ед муж им ,54799,RAVNYJ,6,РАВНЫЙ,6,True
2204,49.21,72.6,золото, сущ неод ед ср им ,39323,ZOLOTO,6,ЗОЛОТО,6,True
2205,49.21,72.6,непременно, нар опред спос ,202409,NEPREMENNO,10,НЕПРЕМЕННО,10,True
2206,49.15,72.6,доложить, гл сов пер/не инф ,59683,DOLOZHIT',9,ДОЛОЖИТЬ,8,True
2207,49.15,72.61,угроза, сущ неод ед жен им ,20727,UGROZA,6,УГРОЗА,6,True
2208,49.09,72.61,гнать, гл несов пер/не инф ,59410,GNAT',5,ГНАТЬ,5,True
2209,49.09,72.62,полезный, прл ед муж им ,53894,POLEZNYJ,8,ПОЛЕЗНЫЙ,8,True
2210,49.09,72.62,традиция, сущ неод ед жен им ,159607,TRADITSIJA,10,ТРАДИЦИЯ,8,True
2211,49.09,72.63,путешествие, сущ неод ед ср им ,43475,PUTESHESTVIE,12,ПУТЕШЕСТВИЕ,11,True
2212,49.09,72.63,обратный, прл ед муж им ,52849,OBRATNYJ,8,ОБРАТНЫЙ,8,True
2213,49.09,72.64,меняться, гл несов непер воз инф ,197690,MENJAT'SJA,10,МЕНЯТЬСЯ,8,True
2214,49.09,72.64,яблоко, сущ неод ед ср им ,46229,JABLOKO,7,ЯБЛОКО,6,True
2215,49.03,72.65,раненый, прл ед муж им ,115589,RANENYJ,7,РАНЕНЫЙ,7,True
2216,49.03,72.65,драться, гл несов непер воз инф ,195033,DRAT'SJA,8,ДРАТЬСЯ,7,True
2217,49.03,72.66,выяснить, гл сов пер/не инф ,59326,VYJASNIT',9,ВЫЯСНИТЬ,8,True
2218,48.97,72.66,захотеться, гл сов непер воз инф безл ,187106,ZAHOTET'SJA,11,ЗАХОТЕТЬСЯ,10,True
2219,48.97,72.67,депутат, сущ одуш ед муж им ,24783,DEPUTAT,7,ДЕПУТАТ,7,True
2220,48.91,72.67,задумчиво, нар опред кач ,200344,ZADUMCHIVO,10,ЗАДУМЧИВО,9,True
